MPSP ($/kg),yield (g/g),titer (g/L)
2700,0.299746114,65.59633028
2700,0.345953368,50
2100,0.299492228,99.23547401
2100,0.397746114,66.36085627
2100,0.473150259,50
1900,0.345445596,150.1529052
1900,0.39926943,100.764526
1900,0.496,80.27522936
1600,0.398253886,150.3058104
1600,0.485336788,100.4587156
1600,0.496,97.40061162
